rows,alloc_time_ns,put_time_ns,run_time_ns,run_time_2_ns,get_output_time_ns,total_time_ns
1,98,34762,47098,53167,35808,170933
1,99,36972,47647,47288,32509,164515
1,99,33065,46802,46289,34317,160572
1,100,34596,46272,46373,33404,160745
1,100,36268,47217,47581,34962,166128
1,100,34934,51156,50297,34331,170818
1,99,35423,53574,51322,33605,174023
1,100,33988,47229,50675,36297,168289
1,100,36064,48840,48847,34195,168046
1,99,33389,53890,47287,34909,169574
1,100,33394,47303,47002,39487,167286
1,101,38753,51358,48237,41544,179993
1,101,38412,48771,55044,34776,177104
1,101,55296,48624,46273,36942,187236
1,99,33933,47697,50058,35023,166810
1,100,32533,47158,47701,33923,161415
1,104,33773,45713,47669,33156,160415
1,100,45883,51465,47628,40786,185862
1,100,39771,46584,46571,32944,165970
1,98,31938,46793,50473,32995,162297
1,100,32149,45895,46465,34886,159495
1,102,32958,47115,46499,36338,163012
1,99,34198,47385,46551,32747,160980
1,100,33650,46260,45412,31944,157366
1,102,32618,47081,48416,33799,162016
1,100,32964,45465,46064,33433,158026
1,100,36206,46536,45678,35104,163624
1,100,32986,47618,49545,37385,167634
1,100,33528,46869,46695,30664,157856
1,99,33035,45733,45593,39185,163645
1,100,37383,46820,53405,35986,173694
1,98,34650,52998,83685,69321,240752
1,99,55998,61544,51117,32073,200831
1,103,33397,50917,51715,32447,168579
1,118,33118,50139,46157,32656,162188
1,101,33113,48909,44659,33403,160185
1,100,31089,46859,46668,33881,158597
1,101,32013,45989,48362,32248,158713
1,100,31220,47444,44296,39378,162438
1,99,33863,45645,45017,32809,157433
1,101,35937,47488,47123,36011,166660
1,100,32813,51457,46326,33205,163901
1,101,31282,48264,46100,32291,158038
1,100,33472,45559,46618,35636,161385
1,101,32365,45105,46119,32367,156057
1,100,33598,43878,50574,32649,160799
1,101,31378,46763,47695,34689,160626
1,100,33180,45385,51642,33372,163679
1,101,32525,47856,46361,32371,159214
1,100,33380,46456,45523,33665,159124
1,101,32928,46480,47790,33025,160324
1,100,34386,49192,46505,36119,166302
1,102,33995,46349,59547,35596,175589
1,99,33419,47033,51847,33938,166336
1,99,34251,46964,47161,33880,162355
1,101,32822,45978,49747,33344,161992
1,101,31377,47329,48396,36405,163608
1,100,33113,48532,47483,34476,163704
1,99,34238,46557,76333,38429,195656
1,102,32649,51912,70230,53060,207953
1,103,37609,79387,76986,35214,229299
1,99,32386,47149,46666,37863,164163
1,100,34616,47602,50055,33799,166172
1,100,34026,48166,46527,33264,162083
1,102,33257,49956,45923,35192,164430
1,98,33227,47855,45897,36207,163284
1,100,31963,45462,47463,33431,158419
1,100,32017,46480,46957,33911,159465
1,100,33188,45659,48111,34267,161325
1,101,33378,48145,46738,33137,161499
1,98,34849,47111,49691,38582,170331
1,103,33794,50545,50877,36602,171921
1,100,37921,53007,50006,35422,176456
1,100,34591,52113,47757,39906,174467
1,100,32861,47579,47810,32986,161336
1,101,35383,49804,47918,35308,168514
1,101,34693,49857,53688,33036,171375
1,102,35308,48997,48506,36116,169029
1,100,33489,44948,50031,34768,163336
1,101,35634,47285,48891,33881,165792
1,100,34469,46238,47770,32826,161403
1,100,33425,45269,45184,33180,157158
1,100,36018,46431,50728,36735,170012
1,99,33328,46016,46996,33469,159908
1,101,33815,47588,45500,35260,162264
1,103,34767,48551,47548,33204,164173
1,99,33816,47813,46398,37676,165802
1,99,32842,46513,45814,32763,158031
1,100,31586,45521,49921,34687,161815
1,100,33664,47239,46806,34091,161900
1,99,32286,47926,45561,31664,157536
1,101,34240,45854,44989,34384,159568
1,99,42650,46966,45482,32567,167764
